intent,text,annotated_text,split
propose_offer,I'll give you 2000 for 5 hours at berth 1,"I'll give you [2000](price_expression) for [5 hours](time_expression) at [berth 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,"Offering 1800 for the cargo, 6 hours","Offering [1800](price_expression) for the cargo, [6 hours](time_expression)",train
propose_offer,I can offer 1500 for 4 hours,I can offer [1500](price_expression) for [4 hours](time_expression),train
propose_offer,We can do 2200 for 7 hours at berth 2,"We can do [2200](price_expression) for [7 hours](time_expression) at [berth 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,Take 2500 for 3 hours,Take [2500](price_expression) for [3 hours](time_expression),train
propose_offer,Pay you 1900 for 8 hours at berth 3,"Pay you [1900](price_expression) for [8 hours](time_expression) at [berth 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,My offer is 1600 for 6h,My offer is [1600](price_expression) for [6h](time_expression),train
propose_offer,We propose 2400 for 5h,We propose [2400](price_expression) for [5h](time_expression),train
propose_offer,Let me offer 1750 for 4h at berth 4,"Let me offer [1750](price_expression) for [4h](time_expression) at [berth 4]{""entity"": ""berth_id"", ""value"": ""berth_4""}",train
propose_offer,I'll pay 2100 for 12 hours,I'll pay [2100](price_expression) for [12 hours](time_expression),train
propose_offer,Our opening offer is 1450 for 10 hours,Our opening offer is [1450](price_expression) for [10 hours](time_expression),train
propose_offer,I'd like to offer 2800 for 2 hours at dock 1,"I'd like to offer [2800](price_expression) for [2 hours](time_expression) at [dock 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,"You can have dock 2 for 3000, 9 hours","You can have [dock 2]{""entity"": ""berth_id"", ""value"": ""berth_2""} for [3000](price_expression), [9 hours](time_expression)",train
propose_offer,I'm offering 2600 for 5 hrs,I'm offering [2600](price_expression) for [5 hrs](time_expression),train
propose_offer,We'll give 1200 for 6 hrs at dock 3,"We'll give [1200](price_expression) for [6 hrs](time_expression) at [dock 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,Proposing 5000 for half a day,Proposing [5000](price_expression) for [half a day](time_expression),train
propose_offer,The offer is 4500 for 24 hours at quay 2,"The offer is [4500](price_expression) for [24 hours](time_expression) at [quay 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,I'll do 3500 for 8h,I'll do [3500](price_expression) for [8h](time_expression),train
propose_offer,"Here's my offer, 2300 for seven hours","Here's my offer, [2300](price_expression) for [seven hours](time_expression)",train
propose_offer,We can pay 1950 for a couple of hours at slip 3,"We can pay [1950](price_expression) for [a couple of hours](time_expression) at [slip 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,Offering 2050 euros to dock for 5 hours,Offering [2050 euros](price_expression) to dock for [5 hours](time_expression),train
propose_offer,I propose 1850 euros for 6 hours at pier 4,"I propose [1850 euros](price_expression) for [6 hours](time_expression) at [pier 4]{""entity"": ""berth_id"", ""value"": ""berth_4""}",train
propose_offer,How about we start at 2k for 4 hours,How about we start at [2k](price_expression) for [4 hours](time_expression),train
propose_offer,A berthing fee of 1800 euros for 7 hours,A berthing fee of [1800 euros](price_expression) for [7 hours](time_expression),train
propose_offer,"I'll offer 2000 for the tanker, 3 hours","I'll offer [2000](price_expression) for the [tanker]{""entity"": ""vessel_class"", ""value"": ""tanker""}, [3 hours](time_expression)",train
propose_offer,We can give you 1800 for 8 hours,We can give you [1800](price_expression) for [8 hours](time_expression),train
propose_offer,Let's start at 1500 for 6h at berth one,"Let's start at [1500](price_expression) for [6h](time_expression) at [berth one]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,I want to offer 2200 for 5h,I want to offer [2200](price_expression) for [5h](time_expression),train
propose_offer,For 4h at berth two I'll pay 2500,"For [4h](time_expression) at [berth two]{""entity"": ""berth_id"", ""value"": ""berth_2""} I'll pay [2500](price_expression)",train
propose_offer,You get 1900 for 12 hours,You get [1900](price_expression) for [12 hours](time_expression),train
propose_offer,I'll put up 1600 for 10 hours at berth 1,"I'll put up [1600](price_expression) for [10 hours](time_expression) at [berth 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,We're offering 2400 for 2 hours,We're offering [2400](price_expression) for [2 hours](time_expression),train
propose_offer,My proposal is 1750 for 9 hours at berth 2,"My proposal is [1750](price_expression) for [9 hours](time_expression) at [berth 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,I'll cover 2100 for 5 hrs,I'll cover [2100](price_expression) for [5 hrs](time_expression),train
propose_offer,ill give 1450 for 6 hrs berth 3,"ill give [1450](price_expression) for [6 hrs](time_expression) [berth 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,i'll do 2800 for half a day,i'll do [2800](price_expression) for [half a day](time_expression),train
propose_offer,we offer 3000 for 24 hours,we offer [3000](price_expression) for [24 hours](time_expression),train
propose_offer,offering 2600 8h,offering [2600](price_expression) [8h](time_expression),train
propose_offer,can pay 1200 for seven hours,can pay [1200](price_expression) for [seven hours](time_expression),train
propose_offer,gimme berth 4 for 5000 a couple of hours,"gimme [berth 4]{""entity"": ""berth_id"", ""value"": ""berth_4""} for [5000](price_expression) [a couple of hours](time_expression)",train
propose_offer,we can do 4500 5 hours,we can do [4500](price_expression) [5 hours](time_expression),train
propose_offer,ill pay 3500 for 6 hours at dock 1,"ill pay [3500](price_expression) for [6 hours](time_expression) at [dock 1]{""entity"": ""berth_id"", ""value"": ""berth_1""}",train
propose_offer,I'll offr 2300 for 4 hours,I'll offr [2300](price_expression) for [4 hours](time_expression),train
propose_offer,"Offering 1950 for the cargo, 7 hours","Offering [1950](price_expression) for the cargo, [7 hours](time_expression)",train
propose_offer,I'll giev you 2050 euros for 3 hours,I'll giev you [2050 euros](price_expression) for [3 hours](time_expression),train
propose_offer,We can offor 1850 euros for 8 hours,We can offor [1850 euros](price_expression) for [8 hours](time_expression),train
propose_offer,My ofer is 2k for 6h at dock 2,"My ofer is [2k](price_expression) for [6h](time_expression) at [dock 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",train
propose_offer,Maersk Genova: 1800 euros for 5h,[Maersk Genova](vessel_name): [1800 euros](price_expression) for [5h](time_expression),train
propose_offer,"2000 for 4h, dock 3","[2000](price_expression) for [4h](time_expression), [dock 3]{""entity"": ""berth_id"", ""value"": ""berth_3""}",train
propose_offer,"Genoa Star - 1800, 12 hours","[Genoa Star](vessel_name) - [1800](price_expression), [12 hours](time_expression)",train
propose_offer,We would offer 1500 for 10 hours,We would offer [1500](price_expression) for [10 hours](time_expression),test
propose_offer,I can put 2200 on the table for 2 hours,I can put [2200](price_expression) on the table for [2 hours](time_expression),test
propose_offer,Starting bid 2500 for 9 hours at quay 2,"Starting bid [2500](price_expression) for [9 hours](time_expression) at [quay 2]{""entity"": ""berth_id"", ""value"": ""berth_2""}",test
